ZIP code,City,State,Abbreviation,OpenEI
99826,Gustavus,Alaska,AK,NO
99827,Haines,Alaska,AK,YES
99603,Halibut Cove,Alaska,AK,YES
99743,Healy,Alaska,AK,YES
99755,Healy,Alaska,AK,YES
99602,Holy Cross,Alaska,AK,YES
99603,Homer,Alaska,AK,YES
99829,Hoonah,Alaska,AK,YES
99604,Hooper Bay,Alaska,AK,NO
99605,Hope,Alaska,AK,NO
99694,Houston,Alaska,AK,YES
99745,Hughes,Alaska,AK,NO
99746,Huslia,Alaska,AK,NO
99922,Hydaburg,Alaska,AK,YES
99923,Hyder,Alaska,AK,YES
99613,Igiugig,Alaska,AK,YES
99606,Iliamna,Alaska,AK,NO
99647,Iliamna,Alaska,AK,YES
99540,Indian,Alaska,AK,NO
99801,Juneau,Alaska,AK,YES
99802,Juneau,Alaska,AK,YES
99803,Juneau,Alaska,AK,YES
99811,Juneau,Alaska,AK,YES
99812,Juneau,Alaska,AK,YES
99821,Juneau,Alaska,AK,YES
99824,Juneau,Alaska,AK,YES
99850,Juneau,Alaska,AK,YES
99830,Kake,Alaska,AK,NO
99747,Kaktovik,Alaska,AK,NO
99607,Kalskag,Alaska,AK,NO
99748,Kaltag,Alaska,AK,YES
99608,Karluk,Alaska,AK,NO
99901,Kasaan,Alaska,AK,YES
99950,Kasaan,Alaska,AK,YES
99609,Kasigluk,Alaska,AK,NO
99610,Kasilof,Alaska,AK,YES
99611,Kenai,Alaska,AK,YES
99635,Kenai,Alaska,AK,YES
99901,Ketchikan,Alaska,AK,YES
99903,Ketchikan,Alaska,AK,NO
99918,Ketchikan,Alaska,AK,YES
99919,Ketchikan,Alaska,AK,YES
99950,Ketchikan,Alaska,AK,YES
99749,Kiana,Alaska,AK,YES
99612,King Cove,Alaska,AK,YES
99549,King Salmon,Alaska,AK,NO
99613,King Salmon,Alaska,AK,YES
99614,Kipnuk,Alaska,AK,NO
99750,Kivalina,Alaska,AK,YES
99925,Klawock,Alaska,AK,YES
99751,Kobuk,Alaska,AK,NO
99615,Kodiak,Alaska,AK,YES
99619,Kodiak,Alaska,AK,YES
99697,Kodiak,Alaska,AK,YES
99606,Kokhanok,Alaska,AK,NO
99606,Kokhonak,Alaska,AK,NO
99576,Koliganek,Alaska,AK,NO
99545,Kongiganak,Alaska,AK,YES
99620,Kotlik,Alaska,AK,YES
99752,Kotzebue,Alaska,AK,YES
99753,Koyuk,Alaska,AK,YES
99754,Koyukuk,Alaska,AK,NO
99621,Kwethluk,Alaska,AK,YES
99545,Kwigillingok,Alaska,AK,YES
99622,Kwigillingok,Alaska,AK,NO
99757,Lake Minchumina,Alaska,AK,NO
99624,Larsen Bay,Alaska,AK,NO
99625,Levelock,Alaska,AK,NO
99762,Little Diomede,Alaska,AK,NO
99626,Lower Kalskag,Alaska,AK,NO
99756,Manley Hot Springs,Alaska,AK,NO
99756,Manley Springs,Alaska,AK,NO
99628,Manokotak,Alaska,AK,NO
99585,Marshall,Alaska,AK,YES
99627,Mc Grath,Alaska,AK,NO
99675,Mc Grath,Alaska,AK,YES
99691,Mc Grath,Alaska,AK,NO
99627,McGrath,Alaska,AK,NO
99629,Meadow Lake,Alaska,AK,YES
99630,Mekoryuk,Alaska,AK,YES
99780,Mentasta Lake,Alaska,AK,NO
99926,Metlakatla,Alaska,AK,YES
99903,Meyers Chuck,Alaska,AK,NO
99586,Miers Lake,Alaska,AK,YES
99758,Minto,Alaska,AK,YES
99631,Moose Pass,Alaska,AK,YES
99632,Mountain Village,Alaska,AK,YES
99633,Naknek,Alaska,AK,NO
99603,Nanwalek,Alaska,AK,YES
99634,Napakiak,Alaska,AK,NO
99559,Napaskiak,Alaska,AK,NO
99901,Naukati Bay,Alaska,AK,YES
99571,Nelson Lagoon,Alaska,AK,NO
99704,Nenana,Alaska,AK,YES
99744,Nenana,Alaska,AK,YES
99760,Nenana,Alaska,AK,YES
99636,New Stuyahok,Alaska,AK,YES
99559,Newtok,Alaska,AK,NO
99690,Nightmute,Alaska,AK,NO
99635,Nikishka,Alaska,AK,YES
99635,Nikiski,Alaska,AK,YES
99556,Nikolaevsk,Alaska,AK,YES
99691,Nikolai,Alaska,AK,NO
99638,Nikolski,Alaska,AK,YES
99639,Ninilchik,Alaska,AK,YES
99761,Noatak,Alaska,AK,YES
99762,Nome,Alaska,AK,NO
99640,Nondalton,Alaska,AK,NO
99763,Noorvik,Alaska,AK,YES
99705,North Pole,Alaska,AK,YES
99764,Northway,Alaska,AK,YES
99789,Nuiqsut,Alaska,AK,YES
99765,Nulato,Alaska,AK,NO
99666,Nunam Iqua,Alaska,AK,YES
99641,Nunapitchuk,Alaska,AK,NO
99643,Old Harbor,Alaska,AK,NO
99644,Ouzinkie,Alaska,AK,YES
99645,Palmer,Alaska,AK,YES
99647,Pedro Bay,Alaska,AK,YES
99832,Pelican,Alaska,AK,YES
99648,Perryville,Alaska,AK,YES
99833,Petersburg,Alaska,AK,NO
99649,Pilot Point,Alaska,AK,NO
99650,Pilot Station,Alaska,AK,YES
99651,Platinum,Alaska,AK,YES
99927,Point Baker,Alaska,AK,YES
99766,Point Hope,Alaska,AK,NO
99759,Point Lay,Alaska,AK,YES
99836,Port Alexander,Alaska,AK,NO
99653,Port Alsworth,Alaska,AK,NO
99603,Port Graham,Alaska,AK,YES
99549,Port Heiden,Alaska,AK,NO
99550,Port Lions,Alaska,AK,YES
99836,Prt Alexander,Alaska,AK,NO
99734,Prudhoe Bay,Alaska,AK,NO
99655,Quinhagak,Alaska,AK,NO
99767,Rampart,Alaska,AK,NO
99656,Red Devil,Alaska,AK,YES
99768,Ruby,Alaska,AK,NO
99657,Russian Mission,Alaska,AK,YES
99591,Saint George,Alaska,AK,YES
99591,Saint George Island,Alaska,AK,YES
99658,Saint Marys,Alaska,AK,YES
99659,Saint Michael,Alaska,AK,NO
99591,Saint Paul Island,Alaska,AK,YES
99660,Saint Paul Island,Alaska,AK,YES
99591,Saint Paul Isle,Alaska,AK,YES
99660,Saint Paul Isle,Alaska,AK,YES
99714,Salcha,Alaska,AK,YES
99661,Sand Point,Alaska,AK,NO
99769,Savoonga,Alaska,AK,YES
99662,Scammon Bay,Alaska,AK,YES
99770,Selawik,Alaska,AK,YES
99663,Seldovia,Alaska,AK,YES
99664,Seward,Alaska,AK,YES
99665,Shageluk,Alaska,AK,YES
99771,Shaktoolik,Alaska,AK,YES
99772,Shishmaref,Alaska,AK,YES
99773,Shungnak,Alaska,AK,NO
99835,Sitka,Alaska,AK,NO
99836,Sitka,Alaska,AK,NO
99840,Skagway,Alaska,AK,NO
99667,Skwentna,Alaska,AK,YES
99586,Slana,Alaska,AK,YES
99668,Sleetmute,Alaska,AK,YES
99669,Soldotna,Alaska,AK,YES
99670,South Naknek,Alaska,AK,YES
99812,State of Alaska,Alaska,AK,YES
99671,Stebbins,Alaska,AK,NO
99710,Steese,Alaska,AK,YES
99672,Sterling,Alaska,AK,YES
99774,Stevens Village,Alaska,AK,NO
99557,Stony River,Alaska,AK,YES
99674,Sutton,Alaska,AK,YES
99675,Takotna,Alaska,AK,YES
99676,Talkeetna,Alaska,AK,YES
99776,Tanacross,Alaska,AK,YES
99777,Tanana,Alaska,AK,NO
99677,Tatitlek,Alaska,AK,YES
99778,Teller,Alaska,AK,NO
99841,Tenakee Springs,Alaska,AK,YES
99919,Thorne Bay,Alaska,AK,YES
99678,Togiak,Alaska,AK,YES
99776,Tok,Alaska,AK,YES
99780,Tok,Alaska,AK,NO
99637,Toksook Bay,Alaska,AK,NO
99683,Trapper Creek,Alaska,AK,NO
99679,Tuluksak,Alaska,AK,NO
99680,Tuntutuliak,Alaska,AK,NO
99681,Tununak,Alaska,AK,NO
99576,Twin Hills,Alaska,AK,NO
99716,Two Rivers,Alaska,AK,YES
99682,Tyonek,Alaska,AK,YES
99684,Unalakleet,Alaska,AK,YES
99547,Unalaska,Alaska,AK,YES
99685,Unalaska,Alaska,AK,NO
99692,Unalaska,Alaska,AK,NO
99619,Uscgs,Alaska,AK,YES
99686,Valdez,Alaska,AK,YES
99781,Venetie,Alaska,AK,NO
99782,Wainwright,Alaska,AK,NO
99783,Wales,Alaska,AK,YES
99928,Ward Cove,Alaska,AK,YES
99629,Wasilla,Alaska,AK,YES
99652,Wasilla,Alaska,AK,YES
99654,Wasilla,Alaska,AK,YES
99687,Wasilla,Alaska,AK,YES
99694,Wasilla,Alaska,AK,YES
99784,White Mountain,Alaska,AK,NO
99693,Whittier,Alaska,AK,NO
99683,Willow,Alaska,AK,NO
99688,Willow,Alaska,AK,NO
99929,Wrangell,Alaska,AK,YES
99689,Yakutat,Alaska,AK,YES
36310,Abbeville,Alabama,AL,YES
36258,Abel,Alabama,AL,YES
35440,Abernant,Alabama,AL,YES
35004,Acmar,Alabama,AL,YES
35005,Adamsville,Alabama,AL,YES
35540,Addison,Alabama,AL,YES
35006,Adger,Alabama,AL,YES
35441,Akron,Alabama,AL,YES
35295,Ala Gas Corp,Alabama,AL,YES
36133,Ala Power Co,Alabama,AL,YES
36130,Ala State Govt Mail,Alabama,AL,YES
35762,Alabama A and M,Alabama,AL,YES
36523,Alabama Port,Alabama,AL,YES
35291,Alabama Power Co,Alabama,AL,YES
35292,Alabama Power Co,Alabama,AL,YES
35007,Alabaster,Alabama,AL,YES
35144,Alabaster,Alabama,AL,YES
36720,Alberta,Alabama,AL,YES
35950,Albertville,Alabama,AL,YES
35951,Albertville,Alabama,AL,NO
35073,Alden,Alabama,AL,YES
35010,Alex City,Alabama,AL,YES
35011,Alex City,Alabama,AL,YES
35010,Alexander City,Alabama,AL,YES
35011,Alexander City,Alabama,AL,YES
36250,Alexandria,Alabama,AL,YES
36191,Alfa Ins Co,Alabama,AL,YES
35442,Aliceville,Alabama,AL,YES
36451,Allen,Alabama,AL,YES
35013,Allgood,Alabama,AL,YES
